Qu Id,Name (Manufacturers),Name (Categories),Name,Weight (Packages),Height (Packages),Length (Packages),Width (Packages)
402194,m'aycreate,Lipsticks,3 Crystal Jelly Lipsticks ,0.1,1,4,4
17831,,,,0,7,10,2
402192,m'aycreate,Lipsticks,3 Crystal Jelly Lipsticks ,0.1,1,4,4
402191,m'aycreate,Lipsticks,3 Crystal Jelly Lipsticks ,0.1,1,4,4
400490,Sony,VR System,Sony PlayStation VR Bundle with Blood & Truth and Everybody's Golf VR,8.75,9,17.5,14
402168,m'aycreate,Lipsticks,3 Crystal Jelly Lipsticks ,0.1,1,4,4
398002,,Purse,Michael Kors Pebble Leather Half Dome Crossbody & Reviews - Handbags & Accessories - Macy's // Admiral/Gold,1.05,6,3,8
402160,m'aycreate,Lipsticks,3 Crystal Jelly Lipsticks ,0.1,1,4,3
398454,,Sweatshirts,"Charter Club Crew-Neck Cashmere Sweater, Regular & Petite Sizes, Created For Macy's & Reviews - Sweaters - Women - Macy's",0.4,7,2,9
405535,Other,TOP DEAL ITEM (archived),Moon Lamp 3D,1,6,6,6
54432,,,,0,22,22,23
396628,Michael Kors,Backpack (Large),"Toby Medium Pebbled Leather Backpack, Color Black",2.9,11,6,18
405502,Other,Cosmetics Set (Medium - pair of medium shampoos),All Natural Spa Lab,1.1,4,13,10
394139,Michael Kors,Backpack (Large),"Toby Medium Pebbled Leather Backpack, Color Black",2.9,11,5,18
403395,,Sweaters,Texture Twill Crew,1,7,2,9
398778,,Dresses,"Tommy Hilfiger V-Neck Cotton Sheath Dress, Created For Macy's",0.5,5,2,6
405481,Calvin Klein,Wallets,Calvin Klein Wallet Set ,0.4,1,7,4
398800,,Sweaters,Tommy Hilfiger Cotton Turtleneck Top,0.5,5,2,7
391884,,Wallets,Logo Slim Wallet | Michael Kors,0.4,4,1,8
403742,Other,Face Masks,12 Korean Masks,0.65,3,5,7
403606,,Headphones,"Soundcore Life 2 Active Noise Cancelling Over-Ear Wireless Headphones, Hi-Res Audio, 30-Hour Playtime, CVC Noise Cancellation, BassUp Technology, Memory-Foam Ear Cushions, and Travel Case...",1.6,3.5,10,7
398740,,Sweaters,Tommy Hilfiger Cotton Turtleneck Top,0.6,5,2,7
394134,Michael Kors,Backpack (Large),"Toby Medium Pebbled Leather Backpack, Color Black",2.6,11,5,18
398735,,Sweaters,Tommy Hilfiger Cotton Turtleneck Top,0.6,5,2,7
402247,Michael Kors,Purse,Miranda French Calf Flap Wallet,0.35,4,1,5
406195,Other,TOP DEAL ITEM (archived),Moon Lamp 3D,1,6,6,6
394201,Michael Kors,Crossbodies,"Ginny Leather Crossbody Bag, Color White",1.1,9,3,7
394044,Michael Kors,Crossbodies,"Ginny Leather Crossbody Bag, Color White",1.3,9,3,8
398248,,Sweatshirts,Tommy Hilfiger Cotton Turtleneck Top & Reviews - Tops - Women - Macy's,0.55,5,2,7
406167,Phoebe,Cream (Small up to 4oz.),24K Gold Under Eye mask,0.4,3,4,4
391933,,Wallets,Saffiano Leather Continental Wallet | Michael Kors,0.6,5,1,8
402580,,Hoodie,MONSTER HOODIE + DIGITAL ALBUM,1.2,8,2,11
406154,Nature's Bounty,Vitamins (Small),"Nature's Bounty Optimal Solutions Women's Multivitamin, 80 Gummies",0.55,3,3,8
396014,,Sweatshirts,"Tommy Hilfiger Men's Rhodes Regular-Fit Full-Zip Sweater,  Please Select A Color  Current selected color: Sky Captain Blue Color: Sky Captain Blue",1.9,8,2,10
395957,,Sweatshirts,"Tommy Hilfiger Men's Rhodes Regular-Fit Full-Zip Sweater,  Please Select A Color  Current selected color: Sky Captain Blue Color: Sky Captain Blue",2,10,2,9
399039,,Sweaters,"Charter Club Crew-Neck Cashmere Sweater, Regular & Petite Sizes, Created For Macy's",0.5,10,1,11
402455,,Hair Care,Alerna CAVIAR Anti-Aging Anti-Frizz Set ,1.4,8,4,4
399035,,Sweaters,"Charter Club Crew-Neck Cashmere Sweater, Regular & Petite Sizes, Created For Macy's",0.45,10,1,12
401119,,Scarfs,Calvin Klein 3-Pc. BouclÇ Metallic Gift Set & Reviews - Handbags & Accessories - Macy's,1.05,8,2,10
405237,Tommy Hilfiger,Wallets,Tommy Hilfiger Genuine Leather Wallet,0.35,1.5,5,4.5
398215,,Sweatshirts,DKNY Graphic Embellished Sweatshirt,0.95,8,3,8
405819,Calvin Klein,Underwear (Box set),"Calvin Klein Cotton Boxer Briefs - Pack of 3, Size M",0.55,7,2,5
402849,Calvin Klein,Underwear (Box set),Calvin Klein Cotton Boxer Briefs - Pack of 3,0.55,7,2,5
401940,Calvin Klein,Underwear (Box set),Calvin Klein Cotton Boxer Briefs - Pack of 3,0.55,7,2,5
393732,,Sweaters,"Tommy Hilfiger Sport Mock-Neck Sweatshirt Dress, Color: Black",0.7,7,2,9
400093,Calvin Klein,Underwear (Box set),Calvin Klein Cotton Boxer Briefs - Pack of 3,0.55,7,2,5
393711,,Sweaters,"Tommy Hilfiger Sport Mock-Neck Sweatshirt Dress, Color: Black",0.85,7,2,9
402622,,Shorts,MEN'S JORDAN JUMPMAN SPECKLE BASKETBALL SHORTS,0.5,6,2,7
395855,,Sweatshirts,"Tommy Hilfiger Men's Rhodes Regular-Fit Full-Zip Sweater,  Please Select A Color  Current selected color: Sky Captain Blue Color: Sky Captain Blue",0.75,9,2,10
402593,,T-shirts,MEN'S NIKE SPORTSWEAR METALLIC FUTURA T-SHIRT,0.4,6,1,8
404017,m'aycreate,Lipsticks,3 Crystal Jelly Lipsticks ,0.1,1,4,3
50644,,,,0,15,20,4
396769,,Backpack (Large),Samsonite Novex Perfect Fit - Laptop Backpacks - Samsonite,3.75,13.5,18.5,8
402131,Calvin Klein,Underwear (Box set),Calvin Klein Cotton Boxer Briefs - Pack of 3,0.55,5,2,7
395897,,Sweatshirts,"Tommy Hilfiger Men's Rhodes Regular-Fit Full-Zip Sweater,  Please Select A Color  Current selected color: Sky Captain Blue Color: Sky Captain Blue",1.9,9,2,13
404010,Harney & Sons,Tea,Harney & Sons Gift Set,0.75,3,3,8
390462,,Cosmetic Set (Small - sample bag),6 Colors Wine Lip,0.35,3,4,4
402857,Calvin Klein,Underwear (Box set),Calvin Klein Cotton Boxer Briefs - Pack of 3,0.6,7,2,5
404619,Calvin Klein,Underwear (Box set),"Calvin Klein Cotton Boxer Briefs - Pack of 3, Size L",0.6,7,2,5
398509,,Sweaters,Tommy Hilfiger Cotton Turtleneck Top,0.5,6,2,9
412525,Calvin Klein,Underwear (Box set),"Calvin Klein Cotton Boxer Briefs - Pack of 3, Size L",0.6,7,2,5
405408,Oral-B,Games & Toys,Oral-B Pro-Health Toothbrush Frozen,0.45,8,4,4
393866,,Sweatshirts,DKNY Graphic Embellished Sweatshirt,0.8,6,2,9
404609,Calvin Klein,Sweatshirts,"Calvin Klein Jeans Fleece Camo-Logo Sweatshirt, Color: Black Zen Camo",0.7,8,2,10
403418,Crest,"Cosmetics Set (Large - big shampoo bottle, up to 2lbs)","Crest Complete Whitening Plus Scope Multi-Benefit Fluoride Liquid Gel Toothpaste, Minty Fresh, 130 g, 6 Pack",2.25,3,5,7
404626,Calvin Klein,Sweatshirts,"Calvin Klein Jeans Fleece-Lined Graphic Sweater, Color: Bonsai/ Silver",0.9,6,3,12
403385,Tommy Hilfiger,Wallets,Tommy Hilfiger Genuine Leather Wallet,0.5,1.5,5,4
402828,,Sweatpants,Tommy Hilfiger Sport Tapered Logo Sweatpants,0.7,8,2,8
56732,,,,0,4,11,3
402852,,Sweaters,Tommy Hilfiger Cotton Turtleneck Top,0.5,5,2,7
398159,Calvin Klein,Jeans,Calvin Klein Jeans Men's Skinny-Fit Stretch Destroyed Jeans,1.45,9,2,12
402893,,Sweaters,Tommy Hilfiger Cotton Turtleneck Top,0.6,5,2,7
398225,,Jeans,Calvin Klein Jeans Men's Skinny-Fit Stretch Destroyed Jeans,1.65,10,2,11
397686,,Winter Jackets,"Sean John Men's Faux Fur Trimmed Multi Pocket Parka & Reviews - Coats & Jackets - Men - Macy's, Size M, Yellow",3.3,11,7,15
398177,,Gloves,Nike Men's Knit Tech Touch Gloves,0.1,4,1,9
395557,,Sweatshirts,"Tommy Hilfiger Men's Rhodes Regular-Fit Full-Zip Sweater,  Please Select A Color  Current selected color: Sky Captain Blue Color: Sky Captain Blue",1.6,9,2,12
395542,,Sweatshirts,"Tommy Hilfiger Men's Rhodes Regular-Fit Full-Zip Sweater,  Please Select A Color  Current selected color: Sky Captain Blue Color: Sky Captain Blue",1.55,10,2,12
403212,Apple,Apple,Apple iPhone 11 Pro Max 256 Unlocked (Sim-Free),1.65,4.5,10,6
402702,Soyee,Games & Toys,STEM Educational Toy Magnetic Blocks,0.75,2,6,6
396307,,Electronics,Google - Home Mini (1st Generation) - Smart Speaker with Google Assistant - Coral,0.85,5,5.5,5
402690,Eva Naturals,Cosmetics Set (Medium - pair of medium shampoos),Eva Naturals Skincare Set of 3 Serums,0.65,4,4,4
395844,,Sweatshirts,"Tommy Hilfiger Men's Rhodes Regular-Fit Full-Zip Sweater,  Please Select A Color  Current selected color: Sky Captain Blue Color: Sky Captain Blue",1.5,8,2,11
401209,,T-shirts,"BONJOUR PARIS DOLL TEE, Color Black, Size M",0.45,5,2,6
399003,,Sweatshirts,"Charter Club Striped Cashmere Sweater, Created For Macy's, Color Ice Grey Heather Combo, Size L ",0.55,9,1,11
47093,,,,0,7,7,1
403555,,Pixel,Google - Pixel 4 with 64GB Cell Phone (Unlocked) - Clearly White,1.3,3,5,7
398677,,Dresses,Tommy Hilfiger Sport Velour Varsity Chevron Dress,1.15,8,3,12
398384,Calvin Klein,Jeans,Calvin Klein Jeans Men's Skinny-Fit Stretch Destroyed Jeans,1.55,7,2,11
398617,,Sweaters,Tommy Hilfiger Cotton Turtleneck Top,0.6,5,1,10
398616,,Sweaters,Tommy Hilfiger Cotton Turtleneck Top,0.55,6,1,10
404654,JBL,In-ear Headphones,Wireless JBL Everest 110GA In-Ear Headphones with Google Assistant,0.6,3,5,7
399389,,Sweaters,Tommy Hilfiger Men's Rhodes Regular-Fit Full-Zip Sweater   & Reviews - Sweaters - Men - Macy's,1.65,8,2,10
398599,,Sweaters,Tommy Hilfiger Cotton Turtleneck Top,0.65,5,1,10
411532,Michael Kors,Crossbodies,"Jet Set Python-Embossed Leather Camera Bag, Color Black",1,9,3,7
410786,Michael Kors,Crossbodies,"Jet Set Python-Embossed Leather Camera Bag, Color Black",1,9,3,7
398590,,Sweaters,Tommy Hilfiger Cotton Turtleneck Top,0.6,5,1,10
398588,,Sweaters,Tommy Hilfiger Cotton Turtleneck Top,0.6,5,1,10
398388,,Jeans,Calvin Klein Jeans Men's Skinny-Fit Stretch Destroyed Jeans,1.6,9,2,9
398587,,Sweaters,Tommy Hilfiger Cotton Turtleneck Top,0.6,5,1,10
398578,,Sweaters,Tommy Hilfiger Cotton Turtleneck Top,0.55,5,1,10
402832,,Leather Jackets,"Club Room Men's Camouflage Bomber Jacket, Created for Macy's",2.15,8,3,12
398421,,Sweatshirts,DKNY Graphic Embellished Sweatshirt,0.9,6,2,9
398626,,Sweaters,Tommy Hilfiger Cotton Turtleneck Top,0.6,5,1,10
395766,Michael Kors,Crossbodies,"Ginny Leather Crossbody Bag, Color White",1.25,9,3,7
402403,,Hoodie,"Tommy Hilfiger Colorblock Hooded Sweatshirt, Color Sky Captain, Size XS",0.9,7,2,10
401075,,Jeans,Tommy Hilfiger Logo-Striped Skinny Jeans,1,7,2,8
398586,,Sweaters,"Charter Club V-Neck Cashmere Sweater, Regular & Petite Sizes, Created For Macy's",0.4,10,1,10
399247,,Sweaters,Tommy Hilfiger Cotton Turtleneck Top,0.55,5,2,7
399246,,Jeans,Calvin Klein Jeans Men's Skinny-Fit Stretch Destroyed Jeans,1.7,9,2,11
398335,Calvin Klein,Jeans,Calvin Klein Jeans Men's Skinny-Fit Stretch Destroyed Jeans,1.3,9,2,13
54428,,,,0,2,6,2
403551,,Wallets,Taylor Small Zip Wallet at Guess,0.3,4,2,5
398274,,Sweatshirts,"Charter Club Crew-Neck Cashmere Sweater, Regular & Petite Sizes, Created For Macy's & Reviews - Sweaters - Women - Macy's",0.45,9,2,7
405925,,Other,12x42 Binoculars for Adults with New Smartphone Photograph Adapter - 18mm Large View Eyepiece - 16.5mm Super Bright BAK4 Prism FMC Lens - Binoculars for Birds Watching Hunting - Waterproo...,2.05,4,8,6.5
395536,,Sweatshirts,"Tommy Hilfiger Men's Rhodes Regular-Fit Full-Zip Sweater,  Please Select A Color  Current selected color: Sky Captain Blue Color: Sky Captain Blue",1.55,9,2,11
399460,,Jeans,Calvin Klein Jeans Men's Skinny-Fit Stretch Destroyed Jeans,1.55,8,2,8
395524,,Sweatshirts,"Tommy Hilfiger Men's Rhodes Regular-Fit Full-Zip Sweater,  Please Select A Color  Current selected color: Sky Captain Blue Color: Sky Captain Blue",1.55,10,2,10
405990,Burt's Bees,Cosmetic Set (Small - sample bag),Burt's Bees Fabulous Minis Travel Set,0.6,3,3,6
395593,,Sweatshirts,"Tommy Hilfiger Men's Rhodes Regular-Fit Full-Zip Sweater,  Please Select A Color  Current selected color: Sky Captain Blue Color: Sky Captain Blue",1.45,10,2,12
34647,,,,0,12,15,7.7
405547,Burt's Bees,Cosmetic Set (Small - sample bag),Burt's Bees Fabulous Minis Travel Set,0.5,3,3,6
398396,,Sweaters,Tommy Hilfiger Cotton Turtleneck Top,0.5,5,2,7
398371,,Sweaters,Tommy Hilfiger Cotton Turtleneck Top,0.6,5,2,7
398360,,Sweaters,Tommy Hilfiger Cotton Turtleneck Top,0.55,7,2,10
394379,,Sweatshirts,DKNY Graphic Embellished Sweatshirt,0.95,7,2,9
399050,,Sweatshirts,"Charter Club Cashmere Turtleneck Sweater, Regular & Petite Sizes, Created For Macy's",0.45,10,1,12
397162,Puritan's Pride,"Cosmetics Set (Large - big shampoo bottle, up to 2lbs)","Puritan's Pride Hyaluronic Acid Beauty Cream-4 oz Cream, 6 Pack",2.5,6,6,6
397976,,Sweatshirts,"Calvin Klein Performance Logo-Stripe Mock-Neck T-Shirt, ",0.5,6,2,8
42877,,,,0,9,24,6
397142,Puritan's Pride,"Cosmetics Set (Large - big shampoo bottle, up to 2lbs)","Puritan's Pride Hyaluronic Acid Beauty Cream-4 oz Cream, 6 Pack",2.5,6,6,6
395935,,Sweatshirts,"Tommy Hilfiger Men's Rhodes Regular-Fit Full-Zip Sweater,  Please Select A Color  Current selected color: Sky Captain Blue Color: Sky Captain Blue",1.4,7,3,10
397163,Puritan's Pride,Vitamins (Large),"Puritan's Pride Hair, Skin & Nails Gummies, 6 Pack",3.9,6,8,8
398572,,Sweaters,Tommy Hilfiger Cotton Turtleneck Top,0.5,5,2,7
398573,,Sweaters,Tommy Hilfiger Cotton Turtleneck Top,0.55,5,2,7
398577,Calvin Klein,Jeans,Calvin Klein Jeans Men's Skinny-Fit Stretch Destroyed Jeans,1.55,10,3,11
398567,,Sweaters,Tommy Hilfiger Cotton Turtleneck Top,0.55,5,2,7
398565,,Sweaters,Tommy Hilfiger Cotton Turtleneck Top,0.55,5,2,7
397123,Puritan's Pride,"Cosmetics Set (Large - big shampoo bottle, up to 2lbs)","Puritan's Pride Hyaluronic Acid Beauty Cream-4 oz Cream, 6 Pack",2.45,6,6,6
23718,,,,0,12,12,8
398557,,Sweaters,Tommy Hilfiger Cotton Turtleneck Top,0.55,5,2,7
393586,,Sweatshirts,DKNY Graphic Embellished Sweatshirt,0.8,6,2,12
398540,,Sweaters,Tommy Hilfiger Cotton Turtleneck Top,0.6,7,2,5
398526,,Sweaters,Tommy Hilfiger Cotton Turtleneck Top,0.6,5,2,7
398524,,Sweaters,Tommy Hilfiger Cotton Turtleneck Top,0.65,5,2,7
393592,,Backpack (Large),"MICHAEL MICHAEL KORS Rhea Medium Logo Tape Backpack, color BLACK|WHITE",2.85,12,6,15
398523,,Sweaters,Tommy Hilfiger Cotton Turtleneck Top,0.55,5,2,7
63287,,,,0,12,14,4
398522,,Sweaters,Tommy Hilfiger Cotton Turtleneck Top,0.55,5,2,7
398525,,Sweaters,Tommy Hilfiger Cotton Turtleneck Top,0.65,5,2,7
395243,,Backpack (Large),Samsonite Classic Leather Slim Backpack & Reviews - Backpacks - Luggage - Macy's,3.4,12,7,17
398521,,Sweaters,Tommy Hilfiger Cotton Turtleneck Top,0.7,5,2,7
395606,,Belts,"Tommy Hilfiger Reversible Leather Men's Belt, Color Black/tan, Size 36",0.4,4,2,5
402348,,Men's Shoes,MEN'S JORDAN TRUNNER LT TRAINING SHOES,1.6,8,4,12
412317,GUESS,Wallets,GUESS Aretha Signature Double Zip Organizer Wallet,0.45,7,1,4
412509,Calvin Klein,Sweatshirts,Calvin Klein Jeans Men's Monogram Sweatshirt,0.9,12,2,8
397683,,Winter Jackets,"Tommy Hilfiger Long Snorkel Coat & Reviews - Coats & Jackets - Men - Macy's, Size L, Color Navy",3.8,12,8,17
56731,,,,0,5,5,4
393276,,Backpack (Large),MICHAEL KORS The Michael Large Nylon Backpack,2.9,12,6,16
412429,Ted Baker,Handbags & Accessories,Ted Baker Signature Ballpoint Pen,0.3,3,3,8
397077,,Crossbodies,GUESS Chrissy Convertible Flap Crossbody,1.75,8,3,10
393218,,Backpack (Large),"Rhea Medium Logo Tape Backpack, color black ",2.65,11,5,14
393353,,Backpack (Large),"MICHAEL MICHAEL KORS Rhea Medium Logo Tape Backpack, color BLACK|WHITE",2.65,10,6,14
401349,,Coats,Michael Kors Michael Kors Men's Madison Luxury Italian Fabric Modern-Fit Overcoat,2.95,9,5,13
397723,Michael Kors,Coats,"Michael Kors Men's Water-Resistant Overcoat with Zip-Out Liner, 42 L",3.35,10,3,14
29669,,,,0,4,4,8
396934,,Sweaters,Tommy Hilfiger Men's Casper Regular-Fit Stripe Embroidered Logo Sweater,0.8,5,2,8
404523,,Women's Shoes,"BIG KIDS' NIKE AIR MAX 270 CASUAL SHOES, Black/Reflect Silver/Bright Crimson - 943345 018, Size 6",1.2,6,4,10
398651,,Sweaters,Tommy Hilfiger Cotton Turtleneck Top,0.65,7,2,6
393320,,Backpack (Large),Steve Madden Elsa Backpack & Reviews - Handbags & Accessories - Macy's,1.9,6,13,10
398649,,Sweaters,Tommy Hilfiger Cotton Turtleneck Top,0.55,7,2,6
60931,,,,0,5,81,3
398641,,Sweaters,Tommy Hilfiger Cotton Turtleneck Top,0.65,5,2,6
398632,,Sweaters,Tommy Hilfiger Cotton Turtleneck Top,0.55,6,2,10
398076,,Bag (Large),"DKNY Sutton Leather Bryant Medium Tote, Created for Macy's",2.1,9,3,14
398745,,Sweatshirts,Calvin Klein Crew Neck Logo Print Pullover,1.05,2,13,10
398055,,Hoodie,Tommy Hilfiger Men's Logo French Rib Quarter-Zip Pullover,1.3,8,2,10
38829,,,,0,3,7,2
392878,,Backpack (Large),"MICHAEL MICHAEL KORS Rhea Medium Logo Tape Backpack, color BLACK|WHITE",3.55,12,6,16
395188,,Men's Ankle Boots,Men's Urban Move Sneaker Boots | Timberland US Store,2.2,4,12,10
393153,,Backpack (Large),"MICHAEL MICHAEL KORS Rhea Medium Logo Tape Backpack, color BLACK|WHITE",2.7,13,6,15
395008,Puritan's Pride,Vitamins (Large),"Puritan's Pride Hair, Skin & Nails Gummies, 6 Pack",3.85,8,7,8
388300,,VR Headset Standalone,Oculus Rift S PC-Powered VR Gaming Headset,7.7,18,8,14
394947,Puritan's Pride,Vitamins (Large),"Puritan's Pride Hair, Skin & Nails Gummies, 6 Pack",3.7,5.5,5.5,12
397640,Puritan's Pride,Vitamins (Large),"Puritan's Pride Probiotic Acidophilus with Pectin, 6 Pack",1.3,7,3,9
395644,Puritan's Pride,Vitamins (Large),"Puritan's Pride Omega-3 Fish Oil, 1200 mg, 100 Count, Pack of 6",3.4,8,6,8
395038,Puritan's Pride,"Cosmetics Set (Large - big shampoo bottle, up to 2lbs)","Puritan's Pride Hyaluronic Acid Beauty Cream-4 oz Cream, 6 Pack",2.4,7,4,9
395583,Puritan's Pride,Vitamins (Large),"Puritan's Pride Omega-3 Fish Oil, 1200 mg, 100 Count, Pack of 6",3.45,8,6,8
395033,Puritan's Pride,"Cosmetics Set (Large - big shampoo bottle, up to 2lbs)","Puritan's Pride Hyaluronic Acid Beauty Cream-4 oz Cream, 6 Pack",2.5,7,4.5,10
395695,Puritan's Pride,"Cosmetics Set (Large - big shampoo bottle, up to 2lbs)","Puritan's Pride Hyaluronic Acid Beauty Cream-4 oz Cream, 6 Pack",2.4,7,3,9
394976,Puritan's Pride,"Cosmetics Set (Large - big shampoo bottle, up to 2lbs)","Puritan's Pride Hyaluronic Acid Beauty Cream-4 oz Cream, 6 Pack",2.35,7,4.5,10
23717,,,,0,10,12,5
397018,Puritan's Pride,Vitamins (Large),"Puritan's Pride Children's Multivitamins & Minerals Gummies, 6 Pack",3.25,6,8,6
394944,,Cream (Big 4-12oz),Puritan's Pride Hyaluronic Acid Beauty Cream Buy 2 Get 4,2.5,7,5,10
397010,Puritan's Pride,"Cosmetics Set (Large - big shampoo bottle, up to 2lbs)","Puritan's Pride Hyaluronic Acid Beauty Cream-4 oz Cream, 6 Pack",2.5,6,6,6
397015,Puritan's Pride,Vitamins (Small),"Puritan's Pride Q-SORB? Co Q-10 100 mg, 6 Pack",0.85,3.5,5,7
394362,,Sweaters,"Style & Co Mixed-Stitch Cowlneck Tunic, Created For Macy's & Reviews - Sweaters - Women - Macy's",1,10,2,12
395994,Puritan's Pride,Vitamins (Small),"Puritan's Pride Q-SORB? Co Q-10 100 mg, 6 Pack",0.95,5.5,5,7
397945,,Underwear (Box set),"Diesel Rocco Cotton Boxer Trunk - Pack of 3, Color BLACK/BLACK/BLACK, Size L",0.5,5,2,8
54426,,,,0,9,10,3
395146,,Sweatshirts,"Charter Club Cashmere Turtleneck Sweater, Regular & Petite Sizes, Color: Magenta Luxe, Size M",0.5,5,2,9
399267,Tommy Hilfiger,Underwear (Box set),"Tommy Hilfiger Stretch Boxer Briefs, Color PRSN BL",0.65,4,2,9
395137,,Dresses,"Tommy Hilfiger Sport Mock-Neck Sweatshirt Dress, Color Red, Size S",0.9,10,2,10
395967,Puritan's Pride,Vitamins (Large),"Puritan's Pride Omega-3 Fish Oil, 1200 mg, 100 Count, Pack of 6",3.4,8,6.5,8.5
394814,Puritan's Pride,Vitamins (Large),"Puritan's Pride Children's Multivitamins & Minerals Gummies, 6 Pack",3.2,7,4,10
394813,Puritan's Pride,Vitamins (Large),"Puritan's Pride Hair, Skin & Nails Gummies, 6 Pack",4,8,8,8
397023,Puritan's Pride,Vitamins (Large),"Puritan's Pride Omega-3 Fish Oil, 1200 mg, 100 Count, Pack of 6",3.45,6.5,8,8
394798,Puritan's Pride,Vitamins (Large),"Puritan's Pride Omega-3 Fish Oil, 1200 mg, 100 Count, Pack of 6",3.45,8,8,8
47056,,,,0,8,14,1
394781,Puritan's Pride,Vitamins (Large),"Puritan's Pride Hair, Skin & Nails Gummies, 6 Pack",3.95,8,8,8
395102,,Sweaters,"Tommy Hilfiger Men's Rhodes Regular-Fit Full-Zip Sweater, Size L, Color Sky Captain Blue",1.8,8,2,12
397014,Puritan's Pride,"Cosmetics Set (Large - big shampoo bottle, up to 2lbs)","Puritan's Pride Hyaluronic Acid Beauty Cream-4 oz Cream, 6 Pack",2.5,6,6,6
394773,Puritan's Pride,Vitamins (Large),"Puritan's Pride Hair, Skin & Nails Gummies, 6 Pack",4.1,8,8,8
396018,Puritan's Pride,Vitamins (Large),"Puritan's Pride Hair, Skin & Nails Gummies, 6 Pack",3.75,6.5,5.5,8.5
395164,,Winter Jackets,"CB Sports Big Girls 2-Pc. Puffer Jacket & Hat Set, Color Blue, Size M",1.65,14,7,11
397013,Puritan's Pride,Vitamins (Large),"Puritan's Pride Children's Multivitamins & Minerals Gummies, 6 Pack",3.2,6,8,6
398692,Puritan's Pride,Vitamins (Large),"Puritan's Pride Hair, Skin & Nails Gummies, 6 Pack",3.95,8,8,8
396012,Puritan's Pride,Vitamins (Large),"Puritan's Pride Probiotic Acidophilus with Pectin, 6 Pack",1.35,5.5,5,7.5
34624,,,,0,8,11,1.25
399047,,Winter Jackets,Angelo Logo Puffer Jacket at Guess,2.2,10,7,14
395877,Puritan's Pride,Vitamins (Large),"Puritan's Pride Probiotic Acidophilus with Pectin, 6 Pack",1.25,5.5,5,7
